id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,class
146,248,4.32,2,335,3,335,4,544,10,211,1.32,34,69,467,88,355,81,331,38,224,72,0.95,789,108,86,66,150,179,44,15,0,1
147,283,3.95,2,326,4,285,4,606,9,229,1.17,39,70,412,91,333,90,326,36,188,86,0.9,835,113,69,63,149,193,49,16,6,1
148,267,3.8,2,349,3,250,4,583,9,234,1.34,39,69,474,99,343,86,343,36,222,78,0.87,752,89,86,61,143,191,49,13,2,1
149,274,3.97,3,329,3,319,5,552,9,232,1.09,30,67,452,95,305,77,368,33,172,56,1.03,758,109,86,66,156,171,44,13,1,1
150,271,4.28,2,356,3,367,4,542,11,209,1.45,34,67,417,95,315,90,406,34,213,78,0.79,798,99,82,59,149,218,47,15,1,1
151,264,4.51,2,326,3,288,4,524,9,218,1.33,38,73,428,91,328,103,355,36,192,63,1.02,807,117,75,69,139,215,44,14,4,1
152,284,4.19,2,344,4,341,4,581,10,225,1.3,34,70,338,93,309,105,352,33,211,66,1,777,122,70,63,132,210,46,15,2,1
153,284,4.56,2,347,2,286,4,618,9,216,1.26,33,71,375,97,305,99,309,39,225,76,0.85,771,98,74,67,149,197,40,16,2,1
154,230,4.32,2,367,2,244,4,588,8,207,1.55,34,74,409,84,315,92,338,37,217,72,0.83,798,90,62,66,147,196,38,14,1,1
155,244,3.89,2,371,3,329,3,601,8,223,1.27,39,66,462,91,315,93,323,37,211,75,0.96,831,121,69,66,134,208,46,13,2,1
156,267,3.87,3,333,3,311,4,572,10,225,1.08,33,67,456,82,364,98,356,41,259,79,1.05,758,109,73,60,138,171,44,13,3,1
157,275,4.13,2,388,4,275,4,555,8,203,1.34,33,75,477,107,302,87,372,36,197,84,0.98,813,102,67,61,142,177,44,13,0,1
158,289,4.26,2,327,2,299,4,611,9,205,1.33,33,67,490,95,321,85,358,40,204,82,1.08,926,114,80,69,147,187,42,15,0,1
159,273,4.42,1,373,4,297,4,577,10,231,1.16,37,69,439,89,351,101,327,33,204,76,0.98,883,120,83,64,132,193,48,15,4,1
160,270,3.8,2,351,3,303,4,618,9,236,1.46,35,65,350,86,292,104,355,38,168,65,1.04,775,109,80,70,141,198,45,17,0,1
161,290,4.07,2,333,3,328,5,607,8,214,1.25,30,68,466,87,338,97,327,37,244,78,0.95,720,112,72,55,159,200,46,15,0,1
162,272,3.64,3,323,2,297,5,578,8,234,1.38,37,74,534,101,305,105,364,45,178,72,0.87,835,123,61,63,152,193,47,15,3,1
163,271,3.74,1,358,3,305,4,566,10,215,1.16,37,69,437,98,318,96,312,46,224,62,0.97,756,111,83,64,155,178,45,15,0,1
164,295,4.56,2,354,3,290,3,551,8,239,1.29,34,74,390,89,319,101,368,38,214,76,0.97,632,112,68,63,139,243,44,14,1,1
165,286,4.58,2,317,3,272,4,567,9,227,1.23,34,70,442,92,326,100,364,38,180,73,1,824,103,71,61,147,217,42,16,2,1
166,274,4.03,2,351,4,286,4,557,8,219,1.31,42,69,390,93,279,93,352,39,231,69,0.94,661,99,78,58,140,178,46,17,0,1
167,239,4.05,2,349,3,304,4,615,8,215,1.32,32,79,410,92,329,90,290,36,233,71,0.87,845,107,72,64,149,242,47,16,0,1
168,255,4.11,2,326,3,320,4,596,9,213,1.25,31,79,437,91,300,79,316,36,220,77,1.05,942,117,69,62,145,236,38,16,3,1
169,293,4.07,2,359,3,335,4,555,8,229,1.34,32,67,417,86,302,86,337,35,179,87,1.08,659,114,79,68,136,218,42,14,5,1
170,302,4.79,1,358,3,330,3,530,8,220,1.13,37,75,461,98,326,85,396,35,230,84,1,582,101,85,62,144,211,47,15,1,1
171,270,4.34,2,340,4,306,4,549,12,216,1.43,33,71,409,101,289,92,345,39,216,65,1.06,769,113,76,61,145,206,37,14,1,1
172,281,4.46,2,336,3,287,4,606,8,224,1.12,33,68,505,91,276,80,352,39,220,74,1.07,685,121,65,59,129,192,44,15,2,1
173,257,4.05,1,370,3,296,5,531,8,206,1.29,36,74,534,83,330,90,332,35,194,85,1.04,748,126,65,58,126,184,45,15,3,1
174,248,4.32,2,358,2,317,3,562,9,220,1.21,35,62,483,91,339,90,334,35,230,68,1.02,703,89,72,58,143,174,48,15,1,1
175,289,4.38,2,331,2,290,4,581,9,227,1.24,35,76,450,92,307,90,323,35,227,71,0.82,937,115,66,61,144,229,40,16,8,1
176,263,4.01,1,341,3,327,5,549,8,219,1.33,36,68,441,98,325,91,334,46,245,72,0.95,692,123,90,65,144,198,34,16,3,1
177,285,3.89,2,338,4,299,5,593,8,217,1.23,28,78,465,94,321,84,335,40,191,56,0.93,730,112,81,66,145,220,38,16,5,1
178,251,3.66,2,333,3,292,4,554,10,219,1.28,35,76,405,97,322,93,430,34,205,64,1.05,929,129,85,62,140,165,52,15,0,1
179,303,3.83,2,342,3,307,3,580,10,219,1.38,32,70,410,95,319,99,387,39,217,66,0.95,687,107,73,59,127,184,45,14,2,1
180,314,4.38,3,352,4,289,4,488,10,237,1.24,34,66,452,96,285,97,342,37,221,72,0.94,722,122,79,64,133,190,48,15,5,1
181,311,4.4,2,336,2,304,4,591,9,215,1.12,32,72,506,92,324,101,324,38,197,79,0.97,777,102,81,71,135,191,45,16,0,1
182,228,4.49,2,314,3,351,5,612,9,220,1.29,38,66,403,96,317,87,329,47,194,73,0.81,692,95,81,66,129,222,54,15,0,1
183,324,3.72,2,348,4,319,4,542,9,207,1.3,33,63,487,90,294,93,353,32,219,66,1.12,802,107,71,63,148,197,43,15,0,1
184,269,3.5,2,350,3,360,4,539,10,224,1.34,34,72,425,94,282,91,408,35,200,70,0.83,503,108,77,63,142,198,48,15,0,1
185,270,4.26,3,334,3,318,4,578,8,198,1.34,34,71,435,88,317,85,397,33,208,66,1.01,709,105,82,63,147,178,38,15,1,1
